Country/Region,TotalCases,TotalDeaths,Olum_Orani
Yemen,1768,508.0,28.733031674208142
France,195633,30312.0,15.494318443207433
UK,308134,46413.0,15.06260263391901
Italy,249204,35187.0,14.119757307266337
Belgium,71158,9859.0,13.855083054610867
Hungary,4597,600.0,13.051990428540353
Mexico,462690,50517.0,10.918109317253451
Netherlands,56982,6153.0,10.798146783194692
Sint Maarten,160,16.0,10.0
Western Sahara,10,1.0,10.0
Chad,942,76.0,8.067940552016985
Spain,354530,28500.0,8.038811948213127
Channel Islands,597,47.0,7.872696817420436
Montserrat,13,1.0,7.6923076923076925
Canada,118561,8966.0,7.562351869501775
Isle of Man,336,24.0,7.142857142857142
Sweden,81967,5766.0,7.034538289799554
Ireland,26372,1768.0,6.704080084938571
Ecuador,90537,5877.0,6.4912687630471515
Sudan,11780,763.0,6.4770797962648565
Liberia,1224,78.0,6.372549019607843
San Marino,699,42.0,6.008583690987124
Niger,1153,69.0,5.9843885516045106
Bermuda,157,9.0,5.7324840764331215
Saint Martin,53,3.0,5.660377358490567
Slovenia,2223,125.0,5.623031938821413
Iran,320117,17976.0,5.615446852244648
Andorra,944,52.0,5.508474576271186
Switzerland,36108,1985.0,5.497396698792512
Martinique,276,15.0,5.434782608695652
Barbados,133,7.0,5.263157894736842
Egypt,95006,4951.0,5.211249815801107
Guadeloupe,279,14.0,5.017921146953405
Mali,2552,124.0,4.858934169278997
Syria,999,48.0,4.804804804804805
Burkina Faso,1158,54.0,4.66321243523316
Indonesia,118753,5521.0,4.649145705792695
North Macedonia,11399,517.0,4.535485568909554
Peru,455409,20424.0,4.484759853230832
Romania,57895,2566.0,4.4321616719924
Finland,7532,331.0,4.394583112055231
Angola,1483,64.0,4.315576534052596
Denmark,14306,617.0,4.312875716482595
Germany,215210,9252.0,4.299056735281818
Tanzania,509,21.0,4.12573673870334
Greece,5123,210.0,4.0991606480577785
Guyana,538,22.0,4.089219330855019
Bolivia,86423,3465.0,4.00934936301679
Guatemala,54339,2119.0,3.8995932939509377
Trinidad and Tobago,210,8.0,3.8095238095238098
Algeria,33626,1273.0,3.78576101825968
Kyrgyzstan,38659,1447.0,3.7429835225949977
Lithuania,2171,81.0,3.7309995393827724
Fiji,27,1.0,3.7037037037037033
Iraq,140603,5161.0,3.6706186923465363
Poland,49515,1774.0,3.582752701201656
Sierra Leone,1877,67.0,3.569525839104955
Afghanistan,36896,1298.0,3.5179965307892456
Brazil,2917562,98644.0,3.3810421166713853
Portugal,52061,1743.0,3.3479956205220796
Bulgaria,13014,435.0,3.342554172429691
Colombia,357710,11939.0,3.3376198596628557
Austria,21696,719.0,3.313974926253687
Antigua and Barbuda,92,3.0,3.260869565217391
USA,5032179,162804.0,3.2352585231964124
Curaçao,31,1.0,3.225806451612903
Monaco,125,4.0,3.2
Cuba,2775,88.0,3.171171171171171
Honduras,45098,1423.0,3.155350569870061
Nicaragua,3902,123.0,3.1522296258329066
Albania,6016,188.0,3.125
Moldova,26628,828.0,3.1095087877422265
Tunisia,1642,51.0,3.1059683313032886
Lesotho,742,23.0,3.0997304582210243
Malawi,4491,137.0,3.050545535515475
Estonia,2124,63.0,2.9661016949152543
Mauritius,344,10.0,2.9069767441860463
Somalia,3227,93.0,2.8819336845367216
Croatia,5404,155.0,2.868245743893412
Bosnia and Herzegovina,13396,384.0,2.866527321588534
Uruguay,1318,37.0,2.8072837632776935
Zambia,7164,199.0,2.7777777777777777
Norway,9468,256.0,2.703844528939586
Chile,366671,9889.0,2.69696812674032
El Salvador,19126,513.0,2.6822126947610583
Latvia,1275,32.0,2.5098039215686274
Turkey,237265,5798.0,2.443681116051672
Mauritania,6444,157.0,2.436374922408442
Japan,42263,1026.0,2.427655395972837
Ukraine,76808,1819.0,2.3682428913654827
Belize,86,2.0,2.3255813953488373
DRC,9309,215.0,2.309592867117843
Serbia,27332,621.0,2.2720620518074055
Haiti,7544,171.0,2.2667020148462353
Cameroon,17718,391.0,2.2067953493622303
Panama,71418,1574.0,2.203926181074799
Czechia,17731,390.0,2.199537533134059
Libya,4879,107.0,2.193072350891576
Togo,1012,22.0,2.1739130434782608
Pakistan,281863,6035.0,2.1411111071690856
Brunei ,141,3.0,2.127659574468085
S. Korea,14519,303.0,2.086920586817274
Senegal,10715,223.0,2.0811945870275315
India,2025409,41638.0,2.0557823135969078
Nigeria,45244,930.0,2.055521174078331
Benin,1936,38.0,1.962809917355372
Armenia,39819,772.0,1.938772947587835
Zimbabwe,4339,84.0,1.9359299377736807
South Sudan,2450,47.0,1.9183673469387756
Argentina,228195,4251.0,1.8628804312101492
Eswatini,2968,55.0,1.853099730458221
Papua New Guinea,163,3.0,1.8404907975460123
Bahamas,761,14.0,1.8396846254927726
Diamond Princess,712,13.0,1.8258426966292134
Philippines,119460,2150.0,1.7997656119203083
South Africa,538184,9604.0,1.784519792487328
Comoros,396,7.0,1.7676767676767675
Ethiopia,20900,365.0,1.7464114832535886
Thailand,3330,58.0,1.7417417417417418
Montenegro,3480,60.0,1.7241379310344827
Equatorial Guinea,4821,83.0,1.7216345156606514
Gambia,935,16.0,1.7112299465240641
Sao Tome and Principe,878,15.0,1.7084282460136675
Luxembourg,7073,119.0,1.6824544040718223
Myanmar,357,6.0,1.680672268907563
Russia,871894,14606.0,1.675203637139377
Congo,3546,58.0,1.6356457980823462
Kenya,24411,399.0,1.6345090328130762
Dominican Republic,76536,1246.0,1.6279920560259225
Cyprus,1208,19.0,1.5728476821192054
Turks and Caicos,129,2.0,1.550387596899225
Morocco,29644,449.0,1.514640399406288
Taiwan,477,7.0,1.4675052410901468
Azerbaijan,33247,479.0,1.4407314945709386
Georgia,1206,17.0,1.4096185737976783
New Zealand,1569,22.0,1.4021669853409815
Suriname,2096,29.0,1.383587786259542
Malaysia,9038,125.0,1.3830493472007082
Vietnam,747,10.0,1.3386880856760375
Guinea-Bissau,2032,27.0,1.328740157480315
Bangladesh,249651,3306.0,1.3242486511169593
Australia,19890,255.0,1.282051282051282
Mayotte,3042,39.0,1.282051282051282
CAR,4620,59.0,1.277056277056277
Jamaica,958,12.0,1.2526096033402923
Lebanon,5672,70.0,1.2341325811001411
Hong Kong,3850,46.0,1.194805194805195
Slovakia,2480,29.0,1.1693548387096775
Aruba,263,3.0,1.1406844106463878
Liechtenstein,89,1.0,1.1235955056179776
Djibouti,5330,59.0,1.1069418386491556
Kazakhstan,95942,1058.0,1.1027495778699632
Saudi Arabia,284226,3055.0,1.0748488878568463
Madagascar,12526,134.0,1.06977486827399
Paraguay,6375,66.0,1.035294117647059
Cabo Verde,2734,27.0,0.9875640087783468
Malta,946,9.0,0.9513742071881607
Costa Rica,21070,200.0,0.9492168960607499
Jordan,1232,11.0,0.8928571428571428
Venezuela,22299,195.0,0.8744786761738195
Belarus,68503,580.0,0.8466782476679853
Tajikistan,7665,62.0,0.8088714938030006
Réunion,671,5.0,0.7451564828614009
Israel,79559,576.0,0.7239910003896479
Mozambique,2120,15.0,0.7075471698113208
Palestine,13398,92.0,0.6866696521868936
Kuwait,70045,469.0,0.6695695624241559
Gabon,7787,51.0,0.6549377167073328
Guinea,7664,49.0,0.6393528183716075
Ivory Coast,16447,103.0,0.6262540280902292
Uzbekistan,28315,175.0,0.6180469715698393
Oman,80713,492.0,0.6095672320444043
French Guiana,8127,47.0,0.5783191829703458
UAE,61845,354.0,0.57239873878244
Namibia,2652,15.0,0.5656108597285068
Iceland,1930,10.0,0.5181347150259068
Ghana,39642,199.0,0.5019928358811362
Cayman Islands,203,1.0,0.49261083743842365
Uganda,1223,5.0,0.4088307440719542
Maldives,4680,19.0,0.40598290598290604
Sri Lanka,2839,11.0,0.3874603733709053
Bahrain,42889,156.0,0.36372962764345174
Nepal,21750,65.0,0.2988505747126437
Burundi,395,1.0,0.25316455696202533
Botswana,804,2.0,0.24875621890547264
Rwanda,2111,5.0,0.23685457129322599
Qatar,112092,178.0,0.15879813010741178
Singapore,54555,27.0,0.049491339015672264
Caribbean Netherlands,13,0.0,0.0
Grenada,24,0.0,0.0
Greenland,14,0.0,0.0
Falkland Islands,13,0.0,0.0
Saint Kitts and Nevis,17,0.0,0.0
Dominica,18,0.0,0.0
Laos,20,0.0,0.0
Vatican City,12,0.0,0.0
New Caledonia,22,0.0,0.0
French Polynesia,64,0.0,0.0
Timor-Leste,25,0.0,0.0
Saint Lucia,25,0.0,0.0
Macao,46,0.0,0.0
St. Vincent Grenadines,56,0.0,0.0
Faeroe Islands,266,0.0,0.0
Mongolia,293,0.0,0.0
Seychelles,126,0.0,0.0
Eritrea,282,0.0,0.0
Gibraltar,190,0.0,0.0
Cambodia,243,0.0,0.0
Bhutan,105,0.0,0.0
